TIME,SEGMENT_ID,SPEED,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH,STREET_HEADING,COMMENTS,BUS_COUNT,MESSAGE_COUNT,HOUR,DAY_OF_WEEK,MONTH,RECORD_ID,START_LATITUDE,START_LONGITUDE,END_LATITUDE,END_LONGITUDE,START_LOCATION,END_LOCATION,Community Areas,Zip Codes,Wards
03/21/2018 05:31:29 PM,1133,23,Cicero,SB,Cermak,31st,1,S,Outside City Limits,3,17,17,4,3,1133-201803212231,41.85124519,-87.74443372,41.8367474,-87.74393181,POINT (-87.7444337191 41.8512451897),POINT (-87.7439318058 41.8367473974),,4458,
03/21/2018 05:31:29 PM,1134,20,Cicero,SB,Roosevelt,Cermak,1.02,S,Outside City Limits,2,24,17,4,3,1134-201803212231,41.86596274,-87.7449852,41.85124519,-87.74443372,POINT (-87.7449852043 41.8659627382),POINT (-87.7444337191 41.8512451897),26,22216,7
03/21/2018 05:31:29 PM,1151,20,Harlem,NB,Madison,Chicago,1.01,S,Outside City Limits,1,5,17,4,3,1151-201803212231,41.87969928,-87.80454881,41.8942683,-87.80510079,POINT (-87.8045488066 41.8796992839),POINT (-87.8051007941 41.8942683013),,26615,
03/21/2018 05:31:29 PM,1152,23,Harlem,NB,Chicago,North Ave,1.01,N,Outside City Limits,1,15,17,4,3,1152-201803212231,41.8942683,-87.80510079,41.90885603,-87.80555365,POINT (-87.8051007941 41.8942683013),POINT (-87.8055536529 41.9088560337),,26615,
03/21/2018 05:31:29 PM,1153,14,Harlem,NB,Forest Preserve Ave,Gunnison,1,N,Outside City Limits,3,11,17,4,3,1153-201803212231,41.95381382,-87.80714975,41.96834367,-87.80698239,POINT (-87.8071497455 41.9538138239),POINT (-87.8069823878 41.9683436725),17,22254,19
03/21/2018 05:31:29 PM,1211,36,Halsted,NB,51st,47th,0.5,S,,1,5,17,4,3,1211-201803212231,41.801585,-87.645156,41.808864,-87.645349,POINT (-87.645156 41.801585),POINT (-87.645349 41.808864),59,14924,4
03/21/2018 05:31:29 PM,1212,35,Halsted,NB,47th,43rd,0.5,S,,1,5,17,4,3,1212-201803212231,41.808864,-87.645349,41.816184,-87.645535,POINT (-87.645349 41.808864),POINT (-87.645535 41.816184),59,14924,48
03/21/2018 05:31:29 PM,1213,27,Halsted,NB,43rd,Pershing,0.5,S,,4,16,17,4,3,1213-201803212231,41.816184,-87.645535,41.823458,-87.645736,POINT (-87.645535 41.816184),POINT (-87.645736 41.823458),59,14924,48
03/21/2018 05:31:29 PM,1214,23,Halsted,NB,Pershing,35th,0.5,S,,2,17,17,4,3,1214-201803212231,41.823458,-87.645736,41.83075,-87.645915,POINT (-87.645736 41.823458),POINT (-87.645915 41.83075),59,14924,48
03/21/2018 05:31:29 PM,1215,18,Halsted,NB,35th,31st,0.5,S,,3,15,17,4,3,1215-201803212231,41.83075,-87.645915,41.838046,-87.646086,POINT (-87.645915 41.83075),POINT (-87.646086 41.838046),58,14924,48
